Frequency [Hz], Amplitude [dB], Phase [deg]
10, -3.34202, -153.183395
11.513953993264476, -2.893596, -152.577652
13.257113655901088, -2.415809, -152.293106
15.264179671752334, -1.928667, -152.360672
17.57510624854792, -1.400658, -152.952637
20.235896477251575, -0.899336, -154.421356
23.29951810515372, -0.634002, -157.186005
26.826957952797258, -0.461433, -160.009537
30.888435964774818, -0.323875, -162.659134
35.564803062231285, -0.222823, -165.016068
40.94915062380425, -0.160086, -167.1698
47.14866363457394, -0.114118, -169.060532
54.286754393238596, -0.079638, -170.75267
62.50551925273973, -0.054689, -172.284348
71.96856730011521, -0.03435, -173.663467
82.86427728546842, -0.02046, -174.951355
95.40954763499938, -0.011584, -176.115524
109.85411419875584, -0.004604, -177.236511
126.48552168552958, -0.000095, -178.289062
145.63484775012444, 0.002576, -179.32106
167.68329368110082, 0.000477, 179.677521
193.06977288832496, 0.000236, 178.673248
222.29964825261956, -0.002458, 177.635422
255.95479226995357, -0.008136, 176.530136
294.705170255181, -0.016451, 175.403458
339.32217718953297, -0.026099, 174.151489
390.6939937054617, -0.043919, 172.82901
449.8432668969444, -0.063079, 171.326736
517.9474679231213, -0.092664, 169.696487
596.3623316594643, -0.132099, 167.89418
686.6488450042998, -0.189563, 165.874023
790.6043210907702, -0.268735, 163.608627
910.2981779915218, -0.383602, 161.058014
1048.1131341546852, -0.580849, 157.639587
1206.792640639329, -1.058202, 151.95076
1389.4954943731375, -1.864348, 144.656998
1599.8587196060573, -2.887719, 137.198578
1842.0699693267163, -4.004718, 130.500549
2120.9508879201903, -5.167463, 124.626884
2442.05309454865, -6.349032, 119.550491
2811.7686979742307, -7.541332, 115.096321
3237.457542817643, -8.734783, 111.238304
3727.593720314938, -9.943631, 107.776321
4291.934260128778, -11.130301, 104.747284
4941.713361323833, -12.313433, 101.943298
5689.866029018293, -13.511767, 99.510887
6551.285568595509, -14.681297, 97.232445
7543.120063354615, -15.854685, 95.143394
8685.11373751352, -16.989887, 92.965889
